INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_c5,1975,capital,1446.269999,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,1990,capital,1446.269999,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2005,capital,1446.269999,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2010,capital,1446.269999,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2015,capital,1446.269999,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2020,capital,1383.287273,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2025,capital,1331.968015,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2030,capital,1285.314144,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2035,capital,1247.991048,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2040,capital,1215.333338,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2045,capital,1185.008322,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2050,capital,1161.681386,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2055,capital,1140.687144,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2060,capital,1122.025596,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2065,capital,1105.696741,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2070,capital,1094.033273,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2075,capital,1082.369806,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2080,capital,1070.706338,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2085,capital,1063.708257,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2090,capital,1056.710177,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2095,capital,1049.712096,0.13,0.307809159
electricity,offshore wind,offshore_wind_storage_c5,2100,capital,1045.046709,0.13,0.307809159
